job_title,salary_usd,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name,job_demand_period,skill_AWS,skill_Azure,skill_Computer Vision,skill_Data Visualization,skill_Deep Learning,skill_Docker,skill_GCP,skill_Git,skill_Hadoop,skill_Java,skill_Kubernetes,skill_Linux,skill_MLOps,skill_Mathematics,skill_NLP,skill_PyTorch,skill_Python,skill_R,skill_SQL,skill_Scala,skill_Spark,skill_Statistics,skill_Tableau,skill_TensorFlow,high_paying
AI Scientist,90376.0,Senior,Contract,China,Medium,China,50,Bachelor,9,Automotive,2024-10-18,2024-11-07,1076,0.18000000000000016,Smart Analytics,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0
AI Engineer,61895.0,Entry-level,Contract,Canada,Medium,Ireland,100,Master,1,Media,2024-11-20,2025-01-11,1268,0.040000000000000036,TechCorp Inc,52,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
AI Specialist,152626.0,Mid-level,Freelance,Switzerland,Large,South Korea,0,Associate,2,Education,2025-03-18,2025-04-07,1974,0.8800000000000001,Autonomous Tech,20,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
AI Engineer,80215.0,Senior,Freelance,India,Medium,India,50,Doctorate,7,Consulting,2024-12-23,2025-02-24,1345,0.72,Future Systems,63,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
AI Specialist,58993.920000000006,Entry-level,Part-time,France,Small,Singapore,100,Master,0,Media,2025-04-15,2025-06-23,1989,0.32000000000000006,Advanced Robotics,69,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
AI Specialist,133459.92,Senior,Contract,Germany,Medium,Germany,50,Associate,7,Healthcare,2024-08-31,2024-10-04,819,0.18000000000000016,Neural Networks Co,34,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
Senior Data Scientist,101180.9,Mid-level,Freelance,United Kingdom,Small,United Kingdom,0,Associate,3,Gaming,2024-12-29,2025-02-28,1936,0.26,DataVision Ltd,61,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
AI Engineer,76291.20000000001,Entry-level,Freelance,France,Large,France,0,Master,0,Healthcare,2024-06-07,2024-07-01,1286,0.52,Cloud AI Solutions,24,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Data Analyst,160710.0,Senior,Contract,Singapore,Large,Singapore,0,Doctorate,7,Government,2024-11-04,2024-11-24,551,0.8600000000000003,Quantum Computing Inc,20,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
AI Engineer,102557.0,Senior,Part-time,Austria,Medium,Austria,0,Master,5,Government,2024-10-20,2024-11-06,2340,0.15999999999999992,Cloud AI Solutions,17,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
